time,site,site_type,latency_ms,jitter_ms,packet_list
16:08,www.google.com,SearchEngine,2.200,0.087,2.312;2.085;2.248;2.154
16:08,www.bing.com,SearchEngine,2.943,0.230,3.338;2.834;2.834;2.766
16:08,www.chatgpt.com,AI,3.304,0.178,3.599;3.247;3.254;3.118
16:09,claude.ai,AI,3.557,0.054,3.624;3.538;3.479;3.586
16:09,www.cloudflare.com,CDN,3.897,0.523,4.762;3.379;3.817;3.628
16:09,www.akamai.com,CDN,2.962,0.221,3.248;2.893;3.059;2.646
16:09,www.facebook.com,Social,2.929,0.174,3.036;2.662;2.897;3.121
16:09,x.com,Social,3.411,0.148,3.611;3.203;3.463;3.368
16:09,www.icloud.com,Cloud,2.941,0.157,3.207;2.854;2.901;2.803
16:09,drive.google.com,Cloud,2.329,0.131,2.495;2.256;2.156;2.408
16:09,www.youtube.com,VideoStreaming,2.285,0.162,2.563;2.195;2.219;2.162
16:09,www.netflix.com,VideoStreaming,2.137,0.130,2.289;1.981;2.039;2.240
16:10,www.google.com,SearchEngine,2.337,0.166,2.607;2.177;2.228;2.336
16:10,www.bing.com,SearchEngine,2.766,0.317,3.310;2.597;2.515;2.641
16:10,www.chatgpt.com,AI,3.331,0.053,3.422;3.309;3.312;3.283
16:10,claude.ai,AI,3.383,0.241,3.799;3.260;3.255;3.217
16:10,www.cloudflare.com,CDN,3.561,0.141,3.795;3.422;3.525;3.500
16:10,www.akamai.com,CDN,2.887,0.235,3.206;2.653;2.671;3.018
16:10,www.facebook.com,Social,2.791,0.312,3.321;2.704;2.545;2.592
16:10,x.com,Social,3.302,0.247,3.718;3.113;3.254;3.122
16:10,www.icloud.com,Cloud,2.840,0.080,2.911;2.878;2.704;2.866
16:10,drive.google.com,Cloud,2.463,0.244,2.752;2.146;2.312;2.641
16:10,www.youtube.com,VideoStreaming,2.339,0.136,2.541;2.351;2.159;2.307
16:11,www.netflix.com,VideoStreaming,,,
16:12,www.google.com,SearchEngine,2.324,0.268,2.732;2.257;2.325;1.983
16:12,www.bing.com,SearchEngine,2.919,0.101,3.062;2.945;2.781;2.889
16:12,www.chatgpt.com,AI,3.383,0.266,3.814;3.288;3.344;3.087
16:12,claude.ai,AI,3.645,0.088,3.736;3.603;3.720;3.521
16:12,www.cloudflare.com,CDN,3.903,0.659,5.043;3.495;3.514;3.559
16:12,www.akamai.com,CDN,2.929,0.134,3.160;2.867;2.832;2.858
16:12,www.facebook.com,Social,2.819,0.113,2.974;2.692;2.877;2.732
16:12,x.com,Social,3.295,0.181,3.437;3.407;2.986;3.350
16:12,www.icloud.com,Cloud,2.843,0.111,2.987;2.685;2.891;2.808
16:12,drive.google.com,Cloud,2.507,0.140,2.747;2.426;2.456;2.399
16:12,www.youtube.com,VideoStreaming,3.359,1.528,2.744;5.987;2.248;2.456
16:12,www.netflix.com,VideoStreaming,,,
16:14,www.google.com,SearchEngine,2.255,0.132,2.431;2.322;2.181;2.086
16:14,www.bing.com,SearchEngine,2.778,0.201,3.115;2.742;2.647;2.608
16:14,www.chatgpt.com,AI,3.373,0.200,3.695;3.375;3.167;3.255
16:14,claude.ai,AI,3.585,0.311,4.117;3.445;3.323;3.456
16:14,www.cloudflare.com,CDN,3.542,0.299,4.019;3.362;3.557;3.231
16:14,www.akamai.com,CDN,2.745,0.130,2.952;2.759;2.634;2.636
16:14,www.facebook.com,Social,2.716,0.196,3.055;2.600;2.618;2.593
16:14,x.com,Social,3.198,0.124,3.356;3.136;3.032;3.269
16:14,www.icloud.com,Cloud,2.713,0.181,3.010;2.640;2.523;2.681
16:14,drive.google.com,Cloud,2.382,0.143,2.500;2.138;2.459;2.433
16:14,www.youtube.com,VideoStreaming,2.360,0.161,2.630;2.321;2.274;2.214
16:14,www.netflix.com,VideoStreaming,,,
16:15,www.google.com,SearchEngine,2.534,0.438,2.497;3.253;2.098;2.290
16:15,www.bing.com,SearchEngine,2.954,0.421,3.634;2.917;2.497;2.767
16:15,www.chatgpt.com,AI,3.216,0.150,3.375;3.355;3.048;3.087
16:15,claude.ai,AI,3.507,0.104,3.620;3.501;3.565;3.342
16:16,www.cloudflare.com,CDN,3.614,0.129,3.807;3.608;3.444;3.597
16:16,www.akamai.com,CDN,2.816,0.216,3.169;2.621;2.817;2.659
16:16,www.facebook.com,Social,2.904,0.057,2.887;2.999;2.878;2.851
16:16,x.com,Social,3.382,0.428,4.100;3.319;3.037;3.073
16:16,www.icloud.com,Cloud,2.797,0.148,3.004;2.865;2.696;2.623
16:16,drive.google.com,Cloud,2.432,0.236,2.814;2.232;2.443;2.238
16:16,www.youtube.com,VideoStreaming,2.328,0.153,2.549;2.177;2.393;2.194
16:16,www.netflix.com,VideoStreaming,2.164,0.168,2.416;2.037;1.988;2.214
